input_file,n,si,ti
Sparks_4096x2160_5994fps_HDR10.mp4,233,6.734,0.355
Sparks_4096x2160_5994fps_HDR10.mp4,234,6.789,0.394
Sparks_4096x2160_5994fps_HDR10.mp4,235,6.86,0.372
Sparks_4096x2160_5994fps_HDR10.mp4,236,6.907,0.367
Sparks_4096x2160_5994fps_HDR10.mp4,237,7.012,0.374
Sparks_4096x2160_5994fps_HDR10.mp4,238,7.036,0.391
Sparks_4096x2160_5994fps_HDR10.mp4,239,7.121,0.406
Sparks_4096x2160_5994fps_HDR10.mp4,240,7.204,0.456
Sparks_4096x2160_5994fps_HDR10.mp4,241,7.313,0.58
Sparks_4096x2160_5994fps_HDR10.mp4,242,7.338,0.42
Sparks_4096x2160_5994fps_HDR10.mp4,243,7.388,0.33
Sparks_4096x2160_5994fps_HDR10.mp4,244,7.422,0.348
Sparks_4096x2160_5994fps_HDR10.mp4,245,7.513,0.352
Sparks_4096x2160_5994fps_HDR10.mp4,246,7.534,0.392
Sparks_4096x2160_5994fps_HDR10.mp4,247,7.595,0.343
Sparks_4096x2160_5994fps_HDR10.mp4,248,7.625,0.354
Sparks_4096x2160_5994fps_HDR10.mp4,249,7.712,0.364
Sparks_4096x2160_5994fps_HDR10.mp4,250,7.75,0.393
Sparks_4096x2160_5994fps_HDR10.mp4,251,7.811,0.372
Sparks_4096x2160_5994fps_HDR10.mp4,252,7.851,0.384
Sparks_4096x2160_5994fps_HDR10.mp4,253,7.952,0.423
Sparks_4096x2160_5994fps_HDR10.mp4,254,8.017,0.522
Sparks_4096x2160_5994fps_HDR10.mp4,255,8.076,0.491
Sparks_4096x2160_5994fps_HDR10.mp4,256,8.113,0.504
Sparks_4096x2160_5994fps_HDR10.mp4,257,8.173,0.444
Sparks_4096x2160_5994fps_HDR10.mp4,258,8.233,0.451
Sparks_4096x2160_5994fps_HDR10.mp4,259,8.295,0.433
Sparks_4096x2160_5994fps_HDR10.mp4,260,8.337,0.467
Sparks_4096x2160_5994fps_HDR10.mp4,261,8.391,0.609
Sparks_4096x2160_5994fps_HDR10.mp4,262,8.56,0.503
Sparks_4096x2160_5994fps_HDR10.mp4,263,8.633,0.42
Sparks_4096x2160_5994fps_HDR10.mp4,264,8.676,0.437
Sparks_4096x2160_5994fps_HDR10.mp4,265,8.737,0.429
Sparks_4096x2160_5994fps_HDR10.mp4,266,8.801,0.457
Sparks_4096x2160_5994fps_HDR10.mp4,267,8.86,0.377
Sparks_4096x2160_5994fps_HDR10.mp4,268,8.897,0.426
Sparks_4096x2160_5994fps_HDR10.mp4,269,8.956,0.434
Sparks_4096x2160_5994fps_HDR10.mp4,270,9.11,0.515
Sparks_4096x2160_5994fps_HDR10.mp4,271,9.181,0.424
Sparks_4096x2160_5994fps_HDR10.mp4,272,9.194,0.433
Sparks_4096x2160_5994fps_HDR10.mp4,273,9.246,0.48
Sparks_4096x2160_5994fps_HDR10.mp4,274,9.45,0.486
Sparks_4096x2160_5994fps_HDR10.mp4,275,9.538,0.412
Sparks_4096x2160_5994fps_HDR10.mp4,276,9.581,0.475
Sparks_4096x2160_5994fps_HDR10.mp4,277,9.672,0.447
Sparks_4096x2160_5994fps_HDR10.mp4,278,9.801,0.602
Sparks_4096x2160_5994fps_HDR10.mp4,279,9.87,0.575
Sparks_4096x2160_5994fps_HDR10.mp4,280,9.917,0.796
Sparks_4096x2160_5994fps_HDR10.mp4,281,9.972,0.749
Sparks_4096x2160_5994fps_HDR10.mp4,282,10.189,0.726
Sparks_4096x2160_5994fps_HDR10.mp4,283,10.254,0.629
Sparks_4096x2160_5994fps_HDR10.mp4,284,10.342,0.727
Sparks_4096x2160_5994fps_HDR10.mp4,285,10.432,0.736
Sparks_4096x2160_5994fps_HDR10.mp4,286,10.617,0.67
Sparks_4096x2160_5994fps_HDR10.mp4,287,10.697,0.633
Sparks_4096x2160_5994fps_HDR10.mp4,288,10.762,0.758
Sparks_4096x2160_5994fps_HDR10.mp4,289,10.845,0.718
Sparks_4096x2160_5994fps_HDR10.mp4,290,10.954,0.853
Sparks_4096x2160_5994fps_HDR10.mp4,291,11.033,0.732
Sparks_4096x2160_5994fps_HDR10.mp4,292,11.083,0.727
Sparks_4096x2160_5994fps_HDR10.mp4,293,11.179,0.874
Sparks_4096x2160_5994fps_HDR10.mp4,294,11.313,0.858
Sparks_4096x2160_5994fps_HDR10.mp4,295,11.373,0.861
Sparks_4096x2160_5994fps_HDR10.mp4,296,11.449,0.842
Sparks_4096x2160_5994fps_HDR10.mp4,297,11.577,0.843
Sparks_4096x2160_5994fps_HDR10.mp4,298,11.632,0.722
Sparks_4096x2160_5994fps_HDR10.mp4,299,11.702,0.695
Sparks_4096x2160_5994fps_HDR10.mp4,300,11.764,0.659
Sparks_4096x2160_5994fps_HDR10.mp4,301,11.883,0.761
Sparks_4096x2160_5994fps_HDR10.mp4,302,11.969,0.663
Sparks_4096x2160_5994fps_HDR10.mp4,303,12.054,0.653
Sparks_4096x2160_5994fps_HDR10.mp4,304,12.099,0.706
Sparks_4096x2160_5994fps_HDR10.mp4,305,12.195,0.801
Sparks_4096x2160_5994fps_HDR10.mp4,306,12.288,0.846
Sparks_4096x2160_5994fps_HDR10.mp4,307,12.344,0.861
Sparks_4096x2160_5994fps_HDR10.mp4,308,12.419,0.826
Sparks_4096x2160_5994fps_HDR10.mp4,309,12.514,0.735
Sparks_4096x2160_5994fps_HDR10.mp4,310,12.659,0.832
Sparks_4096x2160_5994fps_HDR10.mp4,311,12.761,0.636
Sparks_4096x2160_5994fps_HDR10.mp4,312,12.81,0.718
Sparks_4096x2160_5994fps_HDR10.mp4,313,12.91,0.786
Sparks_4096x2160_5994fps_HDR10.mp4,314,12.998,0.697
Sparks_4096x2160_5994fps_HDR10.mp4,315,13.109,0.754
Sparks_4096x2160_5994fps_HDR10.mp4,316,13.177,0.771
Sparks_4096x2160_5994fps_HDR10.mp4,317,13.29,0.84
Sparks_4096x2160_5994fps_HDR10.mp4,318,13.386,0.833
Sparks_4096x2160_5994fps_HDR10.mp4,319,13.483,0.827
Sparks_4096x2160_5994fps_HDR10.mp4,320,13.552,0.779
Sparks_4096x2160_5994fps_HDR10.mp4,321,13.647,0.783
Sparks_4096x2160_5994fps_HDR10.mp4,322,13.768,0.778
Sparks_4096x2160_5994fps_HDR10.mp4,323,13.826,0.78
Sparks_4096x2160_5994fps_HDR10.mp4,324,13.917,0.749
Sparks_4096x2160_5994fps_HDR10.mp4,325,14.02,0.734
Sparks_4096x2160_5994fps_HDR10.mp4,326,14.122,0.804
Sparks_4096x2160_5994fps_HDR10.mp4,327,14.236,0.846
Sparks_4096x2160_5994fps_HDR10.mp4,328,14.3,0.873
Sparks_4096x2160_5994fps_HDR10.mp4,329,14.413,0.836
Sparks_4096x2160_5994fps_HDR10.mp4,330,14.479,0.761
Sparks_4096x2160_5994fps_HDR10.mp4,331,14.57,0.863
Sparks_4096x2160_5994fps_HDR10.mp4,332,14.636,0.766
Sparks_4096x2160_5994fps_HDR10.mp4,333,14.748,0.747
Sparks_4096x2160_5994fps_HDR10.mp4,334,14.822,0.727
Sparks_4096x2160_5994fps_HDR10.mp4,335,14.932,0.797
Sparks_4096x2160_5994fps_HDR10.mp4,336,14.993,0.862
Sparks_4096x2160_5994fps_HDR10.mp4,337,15.095,0.846
Sparks_4096x2160_5994fps_HDR10.mp4,338,15.183,0.865
Sparks_4096x2160_5994fps_HDR10.mp4,339,15.313,0.82
Sparks_4096x2160_5994fps_HDR10.mp4,340,15.365,0.764
Sparks_4096x2160_5994fps_HDR10.mp4,341,15.472,0.837
Sparks_4096x2160_5994fps_HDR10.mp4,342,15.558,0.893
Sparks_4096x2160_5994fps_HDR10.mp4,343,15.639,0.809
Sparks_4096x2160_5994fps_HDR10.mp4,344,15.714,0.929
Sparks_4096x2160_5994fps_HDR10.mp4,345,15.835,0.757
Sparks_4096x2160_5994fps_HDR10.mp4,346,15.939,0.803
Sparks_4096x2160_5994fps_HDR10.mp4,347,16.051,0.778
Sparks_4096x2160_5994fps_HDR10.mp4,348,16.092,0.83
Sparks_4096x2160_5994fps_HDR10.mp4,349,16.212,0.736
Sparks_4096x2160_5994fps_HDR10.mp4,350,16.285,0.718
Sparks_4096x2160_5994fps_HDR10.mp4,351,16.357,0.67
Sparks_4096x2160_5994fps_HDR10.mp4,352,16.427,0.755
Sparks_4096x2160_5994fps_HDR10.mp4,353,16.507,0.792
Sparks_4096x2160_5994fps_HDR10.mp4,354,16.639,0.803
Sparks_4096x2160_5994fps_HDR10.mp4,355,16.728,0.727
Sparks_4096x2160_5994fps_HDR10.mp4,356,16.805,0.72
Sparks_4096x2160_5994fps_HDR10.mp4,357,16.87,0.817
Sparks_4096x2160_5994fps_HDR10.mp4,358,16.902,0.87
Sparks_4096x2160_5994fps_HDR10.mp4,359,17.003,0.769
Sparks_4096x2160_5994fps_HDR10.mp4,360,17.067,0.69
Sparks_4096x2160_5994fps_HDR10.mp4,361,17.298,0.998
Sparks_4096x2160_5994fps_HDR10.mp4,362,17.37,0.737
Sparks_4096x2160_5994fps_HDR10.mp4,363,17.469,0.631
Sparks_4096x2160_5994fps_HDR10.mp4,364,17.514,0.78
Sparks_4096x2160_5994fps_HDR10.mp4,365,17.663,0.701
Sparks_4096x2160_5994fps_HDR10.mp4,366,17.701,0.634
Sparks_4096x2160_5994fps_HDR10.mp4,367,17.799,0.653
Sparks_4096x2160_5994fps_HDR10.mp4,368,17.806,0.642
Sparks_4096x2160_5994fps_HDR10.mp4,369,17.938,0.641
Sparks_4096x2160_5994fps_HDR10.mp4,370,17.988,0.798
Sparks_4096x2160_5994fps_HDR10.mp4,371,18.029,0.756
Sparks_4096x2160_5994fps_HDR10.mp4,372,18.112,0.708
Sparks_4096x2160_5994fps_HDR10.mp4,373,18.227,0.821
Sparks_4096x2160_5994fps_HDR10.mp4,374,18.306,0.854
Sparks_4096x2160_5994fps_HDR10.mp4,375,18.374,0.753
Sparks_4096x2160_5994fps_HDR10.mp4,376,18.428,0.742
Sparks_4096x2160_5994fps_HDR10.mp4,377,18.475,0.815
Sparks_4096x2160_5994fps_HDR10.mp4,378,18.617,0.824
Sparks_4096x2160_5994fps_HDR10.mp4,379,18.684,0.755
Sparks_4096x2160_5994fps_HDR10.mp4,380,18.782,0.771
Sparks_4096x2160_5994fps_HDR10.mp4,381,18.831,0.81
Sparks_4096x2160_5994fps_HDR10.mp4,382,18.98,0.958
Sparks_4096x2160_5994fps_HDR10.mp4,383,19.045,0.914
Sparks_4096x2160_5994fps_HDR10.mp4,384,19.153,0.915
Sparks_4096x2160_5994fps_HDR10.mp4,385,19.277,0.852
Sparks_4096x2160_5994fps_HDR10.mp4,386,19.472,1.022
Sparks_4096x2160_5994fps_HDR10.mp4,387,19.539,0.837
Sparks_4096x2160_5994fps_HDR10.mp4,388,19.616,0.865
Sparks_4096x2160_5994fps_HDR10.mp4,389,19.699,0.98
Sparks_4096x2160_5994fps_HDR10.mp4,390,19.768,0.813
Sparks_4096x2160_5994fps_HDR10.mp4,391,19.859,0.767
Sparks_4096x2160_5994fps_HDR10.mp4,392,19.938,0.889
Sparks_4096x2160_5994fps_HDR10.mp4,393,20.017,0.805
Sparks_4096x2160_5994fps_HDR10.mp4,394,20.125,0.923
Sparks_4096x2160_5994fps_HDR10.mp4,395,20.236,0.999
Sparks_4096x2160_5994fps_HDR10.mp4,396,20.31,1.021
Sparks_4096x2160_5994fps_HDR10.mp4,397,20.378,1.143
Sparks_4096x2160_5994fps_HDR10.mp4,398,20.475,1.137
