input_file,si,ti,n
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.039,0.265,66
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.03,0.284,67
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.032,0.239,68
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.03,0.264,69
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.048,0.273,70
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.036,0.283,71
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.038,0.254,72
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.036,0.265,73
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.058,0.268,74
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.044,0.295,75
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.049,0.252,76
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.05,0.272,77
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.081,0.281,78
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.071,0.289,79
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.077,0.258,80
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.081,0.273,81
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.106,0.272,82
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.1,0.287,83
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.104,0.26,84
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.108,0.285,85
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.135,0.289,86
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.132,0.297,87
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.136,0.266,88
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.142,0.292,89
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.169,0.29,90
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.166,0.303,91
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.173,0.278,92
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.186,0.292,93
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.214,0.291,94
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.212,0.314,95
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.217,0.278,96
