input_file,n,si,ti
Sparks_4096x2160_5994fps_SDR.mp4,94,1.327,0.138
Sparks_4096x2160_5994fps_SDR.mp4,95,1.332,0.363
Sparks_4096x2160_5994fps_SDR.mp4,96,1.328,0.195
Sparks_4096x2160_5994fps_SDR.mp4,97,1.316,0.118
Sparks_4096x2160_5994fps_SDR.mp4,98,1.323,0.327
Sparks_4096x2160_5994fps_SDR.mp4,99,1.336,0.253
Sparks_4096x2160_5994fps_SDR.mp4,100,1.326,0.135
Sparks_4096x2160_5994fps_SDR.mp4,101,1.335,0.329
Sparks_4096x2160_5994fps_SDR.mp4,102,1.318,0.26
Sparks_4096x2160_5994fps_SDR.mp4,103,1.317,0.176
Sparks_4096x2160_5994fps_SDR.mp4,104,1.35,0.366
Sparks_4096x2160_5994fps_SDR.mp4,105,1.345,0.31
Sparks_4096x2160_5994fps_SDR.mp4,106,1.324,0.208
Sparks_4096x2160_5994fps_SDR.mp4,107,1.357,0.398
Sparks_4096x2160_5994fps_SDR.mp4,108,1.355,0.27
Sparks_4096x2160_5994fps_SDR.mp4,109,1.324,0.211
Sparks_4096x2160_5994fps_SDR.mp4,110,1.373,0.449
Sparks_4096x2160_5994fps_SDR.mp4,111,1.367,0.296
Sparks_4096x2160_5994fps_SDR.mp4,112,1.337,0.232
Sparks_4096x2160_5994fps_SDR.mp4,113,1.359,0.403
Sparks_4096x2160_5994fps_SDR.mp4,114,1.347,0.328
Sparks_4096x2160_5994fps_SDR.mp4,115,1.322,0.191
Sparks_4096x2160_5994fps_SDR.mp4,116,1.306,0.307
Sparks_4096x2160_5994fps_SDR.mp4,117,1.323,0.295
Sparks_4096x2160_5994fps_SDR.mp4,118,1.291,0.172
Sparks_4096x2160_5994fps_SDR.mp4,119,1.314,0.435
Sparks_4096x2160_5994fps_SDR.mp4,120,1.292,0.184
Sparks_4096x2160_5994fps_SDR.mp4,121,1.468,0.585
Sparks_4096x2160_5994fps_SDR.mp4,122,1.523,0.307
Sparks_4096x2160_5994fps_SDR.mp4,123,1.482,0.329
Sparks_4096x2160_5994fps_SDR.mp4,124,1.451,0.191
Sparks_4096x2160_5994fps_SDR.mp4,125,1.462,0.356
Sparks_4096x2160_5994fps_SDR.mp4,126,1.449,0.38
Sparks_4096x2160_5994fps_SDR.mp4,127,1.449,0.184
Sparks_4096x2160_5994fps_SDR.mp4,128,1.471,0.353
Sparks_4096x2160_5994fps_SDR.mp4,129,1.467,0.341
Sparks_4096x2160_5994fps_SDR.mp4,130,1.474,0.224
Sparks_4096x2160_5994fps_SDR.mp4,131,1.541,0.413
Sparks_4096x2160_5994fps_SDR.mp4,132,1.493,0.386
Sparks_4096x2160_5994fps_SDR.mp4,133,1.499,0.197
Sparks_4096x2160_5994fps_SDR.mp4,134,1.542,0.367
Sparks_4096x2160_5994fps_SDR.mp4,135,1.536,0.355
Sparks_4096x2160_5994fps_SDR.mp4,136,1.539,0.2
Sparks_4096x2160_5994fps_SDR.mp4,137,1.602,0.444
Sparks_4096x2160_5994fps_SDR.mp4,138,1.59,0.241
Sparks_4096x2160_5994fps_SDR.mp4,139,1.658,0.418
Sparks_4096x2160_5994fps_SDR.mp4,140,1.646,0.382
Sparks_4096x2160_5994fps_SDR.mp4,141,1.652,0.205
Sparks_4096x2160_5994fps_SDR.mp4,142,1.725,0.409
Sparks_4096x2160_5994fps_SDR.mp4,143,1.721,0.375
Sparks_4096x2160_5994fps_SDR.mp4,144,1.727,0.221
Sparks_4096x2160_5994fps_SDR.mp4,145,1.815,0.422
Sparks_4096x2160_5994fps_SDR.mp4,146,1.822,0.373
Sparks_4096x2160_5994fps_SDR.mp4,147,1.82,0.253
Sparks_4096x2160_5994fps_SDR.mp4,148,1.915,0.43
Sparks_4096x2160_5994fps_SDR.mp4,149,1.911,0.393
Sparks_4096x2160_5994fps_SDR.mp4,150,1.921,0.215
Sparks_4096x2160_5994fps_SDR.mp4,151,2.001,0.404
Sparks_4096x2160_5994fps_SDR.mp4,152,2.003,0.401
Sparks_4096x2160_5994fps_SDR.mp4,153,2.015,0.236
Sparks_4096x2160_5994fps_SDR.mp4,154,2.116,0.431
Sparks_4096x2160_5994fps_SDR.mp4,155,2.12,0.43
Sparks_4096x2160_5994fps_SDR.mp4,156,2.135,0.236
Sparks_4096x2160_5994fps_SDR.mp4,157,2.226,0.4
Sparks_4096x2160_5994fps_SDR.mp4,158,2.224,0.414
Sparks_4096x2160_5994fps_SDR.mp4,159,2.233,0.227
Sparks_4096x2160_5994fps_SDR.mp4,160,2.344,0.415
Sparks_4096x2160_5994fps_SDR.mp4,161,2.341,0.42
Sparks_4096x2160_5994fps_SDR.mp4,162,2.353,0.196
Sparks_4096x2160_5994fps_SDR.mp4,163,2.467,0.406
Sparks_4096x2160_5994fps_SDR.mp4,164,2.468,0.416
Sparks_4096x2160_5994fps_SDR.mp4,165,2.48,0.213
Sparks_4096x2160_5994fps_SDR.mp4,166,2.596,0.42
Sparks_4096x2160_5994fps_SDR.mp4,167,2.59,0.432
Sparks_4096x2160_5994fps_SDR.mp4,168,2.6,0.222
Sparks_4096x2160_5994fps_SDR.mp4,169,2.729,0.4
Sparks_4096x2160_5994fps_SDR.mp4,170,2.732,0.43
Sparks_4096x2160_5994fps_SDR.mp4,171,2.743,0.224
Sparks_4096x2160_5994fps_SDR.mp4,172,2.886,0.408
Sparks_4096x2160_5994fps_SDR.mp4,173,2.913,0.447
