input_file,n,si,ti
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,66,21.588,6.81
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,67,21.337,6.881
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,68,21.167,6.572
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,69,20.744,6.457
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,70,20.303,6.198
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,71,19.95,6.24
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,72,19.726,6.322
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,73,19.259,5.935
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,74,18.497,5.915
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,75,17.423,6.06
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,76,16.213,6.12
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,77,15.371,6.242
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,78,15.161,6.266
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,79,15.03,6.1
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,80,14.488,5.659
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,81,13.731,5.514
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,82,12.912,5.417
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,83,12.165,5.226
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,84,11.579,5.125
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,85,10.899,5.011
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,86,10.251,5.058
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,87,9.708,5.034
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,88,9.224,4.963
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,89,8.829,5.143
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,90,8.364,5.419
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,91,8.151,5.539
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,92,8.298,5.75
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,93,8.691,5.868
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,94,9.186,5.888
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,95,9.613,5.77
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,96,10.124,5.832
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,97,10.859,5.94
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,98,11.8,5.996
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,99,12.775,6.041
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,100,13.732,5.968
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,101,14.572,6.009
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,102,15.438,5.949
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,103,16.219,5.808
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,104,16.855,5.763
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,105,17.68,5.963
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,106,18.554,6.168
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,107,19.33,6.228
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,108,20.061,6.283
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,109,20.748,6.398
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,110,21.314,6.652
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,111,21.844,6.597
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,112,22.216,6.154
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,113,22.382,5.944
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,114,22.372,6.14
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,115,22.395,6.276
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,116,22.62,6.186
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,117,22.768,5.826
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,118,22.808,5.826
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,119,22.769,5.477
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,120,22.723,5.289
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,121,22.725,5.331
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,122,22.71,5.311
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,123,22.766,5.084
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,124,22.825,5.076
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,125,22.906,5.074
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,126,22.963,5.164
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,127,22.978,5.235
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,128,23.016,5.201
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,129,23.026,5.319
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,130,23.05,5.359
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,131,23.162,5.537
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,132,23.215,5.259
